Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,561,0,0,District  Gadag,Urban,Away,"11,920","6,081","3,396",70,395,861,556,11,30,75,445
HH2206,29,561,5468,0,SubDistrict  Nargund ,Total,Total,"19,566","9,423","3,476",66,11,355,765,6,142,"4,878",444
HH2206,29,561,5468,0,SubDistrict  Nargund ,Total,Within the premises,"5,693","4,395","1,044",23,4,33,194, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5468,0,SubDistrict  Nargund ,Total,Near the premises,"7,671","3,250","1,647",16,4,252,376,3,1,"1,908",214
HH2206,29,561,5468,0,SubDistrict  Nargund ,Total,Away,"6,202","1,778",785,27,3,70,195,3,141,"2,970",230
HH2206,29,561,5468,0,SubDistrict  Nargund ,Rural,Total,"12,278","3,462","2,588",44,6,352,647,4,141,"4,861",173
HH2206,29,561,5468,0,SubDistrict  Nargund ,Rural,Within the premises,"2,836","1,761",854,15,2,33,171, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5468,0,SubDistrict  Nargund ,Rural,Near the premises,"4,732",973,"1,216",16,2,252,347,2, NaN   ,"1,901",23
HH2206,29,561,5468,0,SubDistrict  Nargund ,Rural,Away,"4,710",728,518,13,2,67,129,2,141,"2,960",150
HH2206,29,561,5468,0,SubDistrict  Nargund ,Urban,Total,"7,288","5,961",888,22,5,3,118,2,1,17,271
HH2206,29,561,5468,0,SubDistrict  Nargund ,Urban,Within the premises,"2,857","2,634",190,8,2, NaN   ,23, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5468,0,SubDistrict  Nargund ,Urban,Near the premises,"2,939","2,277",431, NaN   ,2, NaN   ,29,1,1,7,191
HH2206,29,561,5468,0,SubDistrict  Nargund ,Urban,Away,"1,492","1,050",267,14,1,3,66,1, NaN   ,10,80
HH2206,29,561,5468,803074,Nargund (TMC),Urban,Total,"7,288","5,961",888,22,5,3,118,2,1,17,271
HH2206,29,561,5468,803074,Nargund (TMC),Urban,Within the premises,"2,857","2,634",190,8,2, NaN   ,23, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5468,803074,Nargund (TMC),Urban,Near the premises,"2,939","2,277",431, NaN   ,2, NaN   ,29,1,1,7,191
HH2206,29,561,5468,803074,Nargund (TMC),Urban,Away,"1,492","1,050",267,14,1,3,66,1, NaN   ,10,80
HH2206,29,561,5469,0,SubDistrict  Ron ,Total,Total,"52,503","14,612","24,113",160,168,"1,290","4,949",35,634,"6,215",327
HH2206,29,561,5469,0,SubDistrict  Ron ,Total,Within the premises,"13,723","5,438","6,895",50,83,33,"1,224", NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5469,0,SubDistrict  Ron ,Total,Near the premises,"23,412","6,273","12,669",47,25,312,"2,603",17,9,"1,365",92
HH2206,29,561,5469,0,SubDistrict  Ron ,Total,Away,"15,368","2,901","4,549",63,60,945,"1,122",18,625,"4,850",235
HH2206,29,561,5469,0,SubDistrict  Ron ,Rural,Total,"38,286","9,661","15,327",73,158,"1,129","4,894",25,632,"6,207",180
HH2206,29,561,5469,0,SubDistrict  Ron ,Rural,Within the premises,"8,769","3,374","4,050",31,78,29,"1,207", NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5469,0,SubDistrict  Ron ,Rural,Near the premises,"17,336","4,546","8,447",16,22,289,"2,576",15,8,"1,364",53
HH2206,29,561,5469,0,SubDistrict  Ron ,Rural,Away,"12,181","1,741","2,830",26,58,811,"1,111",10,624,"4,843",127
HH2206,29,561,5469,0,SubDistrict  Ron ,Urban,Total,"14,217","4,951","8,786",87,10,161,55,10,2,8,147
HH2206,29,561,5469,0,SubDistrict  Ron ,Urban,Within the premises,"4,954","2,064","2,845",19,5,4,17, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5469,0,SubDistrict  Ron ,Urban,Near the premises,"6,076","1,727","4,222",31,3,23,27,2,1,1,39
HH2206,29,561,5469,0,SubDistrict  Ron ,Urban,Away,"3,187","1,160","1,719",37,2,134,11,8,1,7,108
HH2206,29,561,5469,803075,Ron (TMC),Urban,Total,"4,710","3,752",648,49,2,151,23,10,2,7,66
HH2206,29,561,5469,803075,Ron (TMC),Urban,Within the premises,"1,773","1,562",189,15,1,4,2, NaN   , NaN   , NaN   , NaN   
HH2206,29,561,5469,803075,Ron (TMC),Urban,Near the premises,"1,772","1,385",300,22,1,22,17,2,1, NaN   ,22
